Wavelength (Angstroms), Normalized intensity, Element
694.77460, 4.7257902, 
694.81947, 3.0987956, 
694.86434, 2.2818702, 
694.90922, 1.9571413, 
694.95409, 1.9353129, 
694.99896, 2.3518206, 
695.04383, 2.4224015, 
695.08870, 2.5082377, 
695.13357, 2.2616650, 
695.17844, 1.9381484, 
695.22331, 1.8858296, 
695.26819, 1.7416136, 
695.31306, 1.6126528, 
695.35793, 1.5423398, 
695.40280, 1.6088323, 
695.44767, 1.6759303, 
695.49255, 1.5340797, 
695.53742, 1.5778255, 
695.58229, 1.5503926, 
695.62716, 1.5740098, 
695.67204, 1.5834074, 
695.71691, 1.6216066, 
695.76178, 1.7534502, 
695.80665, 1.6264391, 
695.85153, 1.6569278, 
695.89640, 1.5412468, 
695.94127, 1.4526175, 
695.98615, 1.5033340, 
696.03102, 1.4946089, 
696.07589, 1.5163803, 
696.12077, 1.5919224, 
696.16564, 1.5396112, 
696.21051, 1.5248142, 
696.25539, 1.5033824, 
696.30026, 1.4900692, 
696.34514, 1.5332019, 
696.39001, 1.6756717, 
696.43488, 1.9554501, 
696.47976, 2.5753180, 
696.52463, 3.3502121, 
696.56951, 4.3294544, 
696.61438, 4.9518854, S V
696.65926, 4.5831975, 
696.70413, 3.5487810, 
696.74901, 2.3355935, 
696.79388, 1.9708405, 
696.83876, 1.8167443, 
696.88363, 1.7007682, 
696.92851, 1.7072287, 
696.97338, 1.8092541, 
697.01826, 2.1779664, 
697.06313, 2.7098502, 
697.10801, 3.0539841, 
697.15288, 2.9451235, Fe VIII
697.19776, 2.4152772, 
697.24264, 2.0768730, 
697.28751, 1.7434304, 
697.33239, 1.7268382, 
697.37726, 1.5921953, 
697.42214, 1.4337116, 
697.46702, 1.5841825, 
697.51189, 1.5436330, 
697.55677, 1.4946368, 
697.60165, 1.4771247, 
697.64652, 1.6549927, 
697.69140, 1.7496486, 
697.73628, 1.6156747, 
697.78115, 1.6726621, 
697.82603, 1.5691213, 
697.87091, 1.5953756, 
697.91579, 1.6981450, 
697.96066, 1.5294354, 
698.00554, 1.5807814, 
698.05042, 1.6071802, 
698.09530, 1.6560229, 
698.14017, 1.6201408, 
